#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44013  42.346  -70.651 2019 03 11 22 50 290   9.0  10.0  1.2   9  5.0 104 1011.9  +0.8   5.9   3.6  -2.1   MM     MM
44014  36.606  -74.840 2019 03 11 22 50 180   2.0   3.0  0.9   9  5.9 127 1020.5  -0.7  10.7  10.6   9.8   MM     MM
44017  40.693  -72.049 2019 03 11 22 50 240   8.0   9.0  1.7   8  5.7 159 1014.9  +0.0   6.1   4.2   1.4   MM     MM
44018  42.206  -70.143 2019 03 11 22 50 280   8.0  10.0  1.4   8  5.7 107 1011.8  -0.0   5.3    MM  -2.3   MM     MM
44020  41.493  -70.279 2019 03 11 23 20 240   7.0   8.0   MM  MM   MM  MM 1012.9    MM   4.4   2.0  -0.4   MM     MM
44025  40.251  -73.164 2019 03 11 22 50 220   4.0   4.0  1.3   8  5.9 151 1016.1  -0.3   6.2   4.5    MM   MM     MM
44027  44.283  -67.300 2019 03 11 22 50 240  10.0  12.0  2.7  10  6.6 157 1006.5  +1.3   4.9   3.8   1.0   MM     MM
44029  42.523  -70.566 2019 03 11 22 04 290   9.0  10.0  1.5  11   MM  MM 1010.2    MM   5.8   2.8    MM  1.6     MM
44030  43.179  -70.426 2019 03 11 22 04 270   9.0  12.0  1.9  11   MM  MM 1009.9    MM   5.4   2.8    MM  1.6     MM
44032  43.715  -69.355 2019 03 11 22 04 250   9.0  11.0  2.5  11   MM  MM 1007.7    MM   4.8   3.5    MM  1.6     MM
44033  44.055  -68.996 2019 03 11 22 04 230   5.0   6.0  1.3  11   MM  MM 1006.6    MM   3.7   1.3    MM  1.6     MM
44034  44.103  -68.112 2019 03 11 22 04 240  10.0  12.0  3.2  11   MM  MM 1006.7    MM   4.1   2.7    MM  1.6     MM
44037  43.491  -67.880 2019 03 11 22 04 250  10.0  13.0  3.5  11   MM  MM 1007.7    MM   5.0   3.8    MM  1.6     MM
44042  38.033  -76.335 2019 03 11 23 36 160   2.0   2.0   MM  MM   MM  MM 1020.1    MM   6.8   6.1    MM   MM     MM
44056  36.199  -75.715 2019 03 11 22 30  MM    MM    MM  0.6   8   MM  MM     MM    MM    MM  10.3    MM   MM     MM
44058  37.567  -76.257 2019 03 11 23 18 200   1.0   1.0   MM  MM   MM  MM 1017.7    MM   9.0   7.4    MM   MM     MM
44064  36.998  -76.087 2019 03 11 23 20 130   1.0   1.0   MM  MM   MM  MM 1019.8    MM   9.3    MM    MM   MM     MM
44065  40.369  -73.703 2019 03 11 23 20 260   4.0   5.0   MM  MM   MM  MM 1016.4    MM   6.8   4.1   1.0   MM     MM
44072  37.201  -76.266 2019 03 11 23 20  MM    MM    MM   MM  MM   MM  MM     MM    MM  11.4    MM    MM   MM     MM
