#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44030  43.179  -70.426 2018 11 29 07 04 310   9.0  11.0  1.4  11   MM  MM  997.2    MM   4.6   8.0    MM  1.6     MM
44032  43.715  -69.355 2018 11 29 06 04 330  11.0  14.0   MM  MM   MM  MM  994.5    MM   4.6    MM    MM  1.6     MM
44033  44.055  -68.996 2018 11 29 07 04 350  10.0  14.0  0.7   4   MM  MM  994.7    MM   4.1   7.5    MM   MM     MM
44034  44.103  -68.112 2018 11 29 07 04 340  12.0  15.0  1.2   4   MM  MM  993.0    MM   4.1   8.9    MM  1.6     MM
44037  43.491  -67.880 2018 11 29 06 04 330  11.0  14.0  1.8   5   MM  MM  991.0    MM   4.9   9.2    MM  1.6     MM
44039  41.138  -72.655 2018 11 29 06 45 300   9.0  11.0  0.8   5   MM  MM     MM    MM   5.3   9.3    MM   MM     MM
44040  40.956  -73.580 2018 11 29 06 50 280  11.0  15.0  0.6   3   MM  MM     MM    MM   5.2    MM  -0.5   MM     MM
44042  38.033  -76.335 2018 11 29 07 30 320  10.0  12.0   MM  MM   MM  MM 1016.6    MM   0.9    MM    MM   MM     MM
44058  37.567  -76.257 2018 11 29 07 30 340   7.0   9.0   MM  MM   MM  MM 1017.8    MM   1.0    MM    MM   MM     MM
44062  38.556  -76.415 2018 11 29 07 30  MM    MM    MM   MM  MM   MM  MM 1017.2    MM   0.7    MM    MM   MM     MM
44064  36.998  -76.087 2018 11 29 07 30 350  10.0  11.0   MM  MM   MM  MM 1016.6    MM   2.2    MM    MM   MM     MM
44065  40.369  -73.703 2018 11 29 07 40 300  13.0  16.0   MM  MM   MM  MM 1008.0    MM   6.3  10.2   0.3   MM     MM
44066  39.568  -72.586 2018 11 29 06 50 300  15.0  18.0  3.5   8  6.3 289 1006.1  +1.0   6.5    MM    MM   MM     MM
